entry_id,player_id,number,tier,era,team,signature_stat,stat_label,stat_weight,fun_fact,league_wide_retired,retired_league,retired_badge,verification_status,source_id,notes
bl-0000,robert-parish,00,LEGEND,Celtics Dynasty,Boston Celtics,3,Championship Rings (with Celtics),3,"The Chief. Played 21 seasons, nine with the Celtics, winning three championships alongside Bird and McHale. His #00 is retired by the Celtics.",,,,verified,bkref,
bl-0001,jayson-tatum,0,LEGEND,New Dynasty,Boston Celtics,1,Championship,3,"2024 Finals MVP, the face of the new dynasty. Still writing it.",,,,verified,bkref,
bl-0002,bobby-doerr,1,LEGEND,Red Sox Golden Age,Boston Red Sox,223,Career Home Runs,2,One of the best second basemen of his era. Played his entire 14-season career with the Red Sox. Batted .325 in the 1946 World Series. Hall of Famer who played alongside Ted Williams.,,,,verified,bbref,
bl-0003,gerry-cheevers,1,LEGEND,Bruins Dynasty,Boston Bruins,2,Stanley Cup Rings,2,He used to draw stitches on his mask every time a puck hit it. By the end of his career it looked like Frankenstein.,,,,verified,hkref,
bl-0004,red-auerbach,2,LEGEND,Celtics Dynasty,Boston Celtics,9,Championships as Head Coach (including 8 consecutive 1959-1966),3,"Nine NBA championships as head coach, including eight consecutive titles from 1959 to 1966. He lit a victory cigar before the final buzzer as his signature move to celebrate.",,,,verified,bkref,
bl-0005,eddie-shore,2,LEGEND,NHL Original Six Era,Boston Bruins,4,Hart Trophy Wins,3,He won four MVP awards in the 1930s and was considered the greatest defenseman in hockey history until Bobby Orr arrived decades later,,,,verified,hkref,
bl-0006,dennis-johnson,3,LEGEND,Celtics Big Three,Boston Celtics,1,Championship,2,Larry Bird called him the best teammate he ever had. High praise from the greatest Celtic.,,,,verified,bkref,Died at 52 - Hall of Fame case pending
bl-0007,jimmie-foxx,3,LEGEND,Red Sox Pre-War Era,Boston Red Sox,534,Career Home Runs,2,He hit 50 home runs in 1938 and batted .349 in his first year in Boston. The Beast was terrifying.,,,,verified,bbref,
bl-0008,bobby-orr,4,LEGEND,Bruins Dynasty,Boston Bruins,270,Career Goals (All With Boston),3,"He flew through the air after scoring the 1970 Cup winner, arms out horizontal, the most iconic photo in Boston sports.",,,,verified,hkref,
bl-0009,joe-cronin,4,LEGEND,Red Sox Pre-War Era,Boston Red Sox,1424,Career RBI,1,"He was a player-manager, hitting and running the team at the same time, and later became AL President.",,,,verified,bbref,
bl-0010,kevin-garnett,5,LEGEND,Big Three Era,Boston Celtics,1,Championship,2,After winning the 2008 title he screamed ANYTHING IS POSSIBLE into the camera. The city felt every word.,,,,verified,bkref,
bl-0011,nomar-garciaparra,5,LEGEND,Red Sox Revival,Boston Red Sox,0.372,Peak Season AVG,2,"He had a full batting ritual before every single pitch, gloves tightened exactly the same way. Fenway loved every second of it.",,,,verified,bbref,
bl-0012,bill-russell,6,SACRED,Celtics Dynasty,Boston Celtics,11,Championships,3,"The NBA retired his number across all 30 teams in 2022, 55 years after his last championship, because some things take time to understand.",,,,verified,bkref,
bl-0013,johnny-pesky,6,LEGEND,Red Sox Mid-Century,Boston Red Sox,1455,Career Hits,2,The right field foul pole at Fenway is officially named the Pesky Pole after him. He hit a few key homers around it.,,,,verified,bbref,
bl-0014,jaylen-brown,7,LEGEND,New Dynasty,Boston Celtics,1,Championship,2,2024 NBA Finals MVP alongside Jayson Tatum. The first Celtics player to win Finals MVP since Paul Pierce in 2008. Built a new dynasty with Tatum.,,,,verified,bkref,
bl-0015,phil-esposito,7,LEGEND,Bruins Dynasty,Boston Bruins,459,Goals as a Bruin,3,"When he was traded to the Rangers in 1975, fans held a protest at the Garden. That's how much Boston loved him.",,,,verified,hkref,
bl-0016,cam-neely,8,LEGEND,Bruins Modern Era,Boston Bruins,395,Career Goals,3,"He invented the power forward position before anyone called it that. Goals, hits, fights — and a body that took the beating so the team did not have to.",,,,verified,hkref,
bl-0017,carl-yastrzemski,8,LEGEND,Red Sox Mid-Century,Boston Red Sox,3419,Career Hits,3,In 1967 he won the Triple Crown and carried the Red Sox to the pennant almost single-handedly. One man willing a team to greatness.,,,,verified,bbref,
bl-0018,johnny-bucyk,9,LEGEND,Bruins Dynasty,Boston Bruins,545,Career Goals,2,"He played 21 seasons in Boston, all of them in a Bruins jersey. The definition of a franchise lifer.",,,,verified,hkref,
bl-0019,ted-williams,9,LEGEND,Red Sox Golden Age,Boston Red Sox,0.406,Season Batting AVG,3,He hit .406 in 1941 and nobody has done it since. He also lost five prime years serving in WWII and Korea and came back and was still the best hitter alive.,,,,verified,bbref,
bl-0020,jo-jo-white,10,LEGEND,Celtics 70s,Boston Celtics,2,Championships,2,"He was the 1976 Finals MVP, the engine of the Celtics dynasty between Russell and Bird that most people forget about.",,,,verified,bkref,
bl-0021,julian-edelman,11,LEGEND,Patriots Dynasty,New England Patriots,3,Super Bowl Rings,2,Super Bowl LIII MVP with 141 receiving yards in the lowest-scoring Super Bowl ever. A former college quarterback who converted to receiver. Brady's most reliable weapon.,,,,verified,pfref,Confidence 3 - Legend tier debated
bl-0022,tom-brady,12,LEGEND,Patriots Dynasty,New England Patriots,6,Super Bowl Wins as Patriot,3,He was the 199th pick in the 2000 draft. Nobody wanted him. He went on to win six Super Bowls in New England.,,,,verified,pfref,
bl-0023,bob-cousy,14,LEGEND,Celtics Dynasty,Boston Celtics,13,All-Star Selections + 6x All-Star Game MVP,3,"He invented what modern point guards do, behind-the-back passes and no-look feeds, in the 1950s when nobody had seen it before. The Celtics tried to trade him and Boston fans threatened a citywide boycott.",,,,verified,bkref,
bl-0024,jim-rice,14,LEGEND,Red Sox 70s-80s,Boston Red Sox,382,Career Home Runs,2,He was so feared that AL managers would walk him to face someone less dangerous. The 1978 MVP was unanimous.,,,,verified,bbref,
bl-0025,steve-grogan,14,LEGEND,Pre-Dynasty Patriots,New England Patriots,182,Career TD Passes,2,"The toughest quarterback of his era. Started every game he could, engineered comebacks nobody else would have attempted, and carried a franchise that had nothing else to sell.",,,,verified,pfref,
bl-0026,dustin-pedroia,15,LEGEND,Red Sox Modern,Boston Red Sox,2,World Series Rings,3,"He won Rookie of Year, MVP, and two World Series rings in Boston, and played most of his career hurt because he refused to quit.",,,,verified,bbref,The Laser Show
bl-0027,milt-schmidt,15,LEGEND,Bruins Dynasty,Boston Bruins,229,Career Goals,2,"He served in WWII during his prime years, gave up three seasons to the war, and came back to win the Cup.",,,,verified,hkref,
bl-0028,tom-heinsohn,15,LEGEND,Celtics Dynasty,Boston Celtics,8,Championships as Player (+ 2 More as Head Coach),3,"He won eight rings as a player, then coached the Celtics to two more, and called every game on TV for decades. No one touched this franchise more times across more roles.",,,,verified,bkref,
bl-0029,derek-sanderson,16,LEGEND,Bruins Dynasty,Boston Bruins,2,Stanley Cup Rings,2,"He was the coolest player in the NHL in the early 70s. Faceoff wizard, two Cups, and the biggest contract in hockey history at the time.",,,,verified,hkref,Turk
bl-0030,dwight-evans,16,LEGEND,Red Sox 70s-80s,Boston Red Sox,385,Career Home Runs,2,He won eight Gold Gloves in right field at Fenway. The wall is brutal to play and he made it look easy for two decades.,,,,verified,bbref,
bl-0031,john-havlicek,17,LEGEND,Celtics Dynasty,Boston Celtics,8,Championships + 1974 Finals MVP Bridged Both Dynasties,3,"Havlicek stole the ball. Those four words from the 1965 Eastern Conference Finals are the most famous call in NBA history. He won eight championships, the original sixth man who became a starter.",,,,verified,bkref,
bl-0032,milan-lucic,17,LEGEND,Bruins Modern Era,Boston Bruins,1,Stanley Cup Ring,1,"He was the enforcer of the 2011 Cup team, the guy who made sure nobody touched Bergeron. Bruins fans loved him deeply.",,,,verified,hkref,
bl-0033,dave-cowens,18,LEGEND,Celtics 70s,Boston Celtics,2,Championships,2,He was undersized for a center and it didn't matter. He out-hustled everyone and willed two championships through pure fury.,,,,verified,bkref,
bl-0034,johnny-damon,18,LEGEND,Red Sox Revival,Boston Red Sox,1,World Series Ring,2,"He called himself and his teammates The Idiots, and then in the 2004 ALCS he hit a grand slam that helped complete the comeback from 3-0.",,,,verified,bbref,Broke hearts going to the Yankees after
