entry_id,player_id,number,tier,era,team,signature_stat,stat_label,stat_weight,fun_fact,league_wide_retired,retired_league,retired_badge,verification_status,source_id,notes
g-0000,damian-lillard,0,LEGEND,NBA Modern Era,Portland Trail Blazers,897,Career Three-Pointers,2,"He hit one of the most iconic buzzer-beaters in playoff history against OKC in 2019, pointed at his wrist as if checking the time, and walked off.",,,,needs_review,,
g-0001,jim-otto,00,LEGEND,AFL/NFL Era,Oakland Raiders,210,Consecutive Games Started,3,"He wore #00 for every one of his 210 consecutive starts, a number the NFL doesn't even officially allow anymore, and made the Hall of Fame doing it.",,,,needs_review,,Number 00 is distinct from 0. Otto defines this number in football as Parish does in basketball.
g-0002,robert-parish,00,LEGEND,Celtics Dynasty,Boston Celtics,1611,Regular Season Games (all-time record at retirement),3,"He played 1611 regular season games, more than anyone in NBA history at the time, and won three championships in Boston alongside Bird and McHale. They called him The Chief and he earned every syllable.",,,,needs_review,,Number 00 is distinct from 0. Parish defines this number.
g-0003,russell-westbrook,0,LEGEND,NBA Modern Era,Oklahoma City Thunder,198,Career Triple-Doubles (all-time record),3,"He broke Oscar Robertson's 55-year-old triple-double record and didn't stop. He now has nearly 200, a number so absurd the stat feels made up.",,,,needs_review,,
g-0004,oscar-robertson,1,LEGEND,NBA Golden Era,Milwaukee Bucks,1,Season Averaging a Triple-Double (1961-62) No One Did It Again for 55 Years,3,"The Big O was the first player ever to average a triple-double across an entire 48-game season, establishing a standard so high that no one repeated it until Russell Westbrook came along 55 years later in 2016-17",,,,needs_review,,
g-0005,terry-sawchuk,1,LEGEND,NHL Original Six,Detroit Red Wings,103,Career Shutouts,3,"He recorded 103 shutouts — a record so far ahead of everyone else it may never fall. He spent most of his career without a mask, taking pucks to the face, and still stopped everything.",,,,needs_review,,
g-0006,warren-moon,1,LEGEND,NFL Modern Era,Houston Oilers,49117,Career Passing Yards,2,He was passed over by every NFL team in 1978 because of his race. He spent six years dominating the CFL before the NFL finally came calling.,,,,needs_review,,
g-0007,brian-leetch,2,LEGEND,NHL Modern,New York Rangers,1028,Career Points,2,"He won the Conn Smythe in 1994 as a defenseman, only the third D-man ever to win playoff MVP, and ended the Rangers' 54-year Cup drought.",,,,needs_review,,
g-0008,derek-jeter,2,LEGEND,Yankees Dynasty,New York Yankees,3465,Career Hits,3,"He made The Flip, a relay throw nobody should have been near, to nail Jeremy Giambi at the plate and save a playoff series.",,,,needs_review,,
g-0009,allen-iverson,3,LEGEND,NBA Modern,Philadelphia 76ers,4,NBA Scoring Titles,3,He was 6 feet tall and 165 pounds and led the NBA in scoring four times. The Answer proved size didn't matter if your heart was big enough.,,,,needs_review,,
