debate_id,number,wall,sport,wall_context,question,option_a_name,option_a_team,option_b_name,option_b_team,seed_votes_a,seed_votes_b,wall_call,wall_note,season_label,status
debate-001,23,global,Basketball,#23 · Basketball,Who do you see first?,Michael Jordan,Chicago Bulls,LeBron James,Los Angeles Lakers,1891,1204,A,The wall sees Jordan. LeBron is the argument that keeps the question alive.,Season 1 · Q1 2026,active
debate-002,33,global,Basketball,#33 · Basketball,Who do you see first?,Larry Bird,Boston Celtics,Kareem Abdul-Jabbar,Milwaukee Bucks,1120,890,A,The wall sees Bird. Kareem won more. The argument doesn't end there.,Season 1 · Q1 2026,active
debate-003,44,global,Baseball,#44 · Baseball,Who do you see first?,Hank Aaron,Atlanta Braves,Reggie Jackson,Oakland Athletics,940,760,A,The wall sees Aaron. #44 broke the record. Reggie made October mean something different.,Season 1 · Q1 2026,active
debate-004,12,global,Football,#12 · Football,Who do you see first?,Tom Brady,New England Patriots,Joe Namath,New York Jets,1340,620,A,The wall sees Brady. Namath is the reason #12 at quarterback means anything at all.,Season 1 · Q1 2026,active
debate-005,10,global,Soccer,#10 · Soccer,Who do you see first?,Pelé,Brazil,Lionel Messi,Argentina,1080,1340,B,The wall sees Messi. Pelé made #10 sacred. Messi made people ask the question again.,Season 1 · Q1 2026,active
debate-006,24,global,,#24 · Two Sports,Who do you see first?,Willie Mays,San Francisco Giants,Kobe Bryant,Los Angeles Lakers,780,740,A,The wall sees Mays. Kobe's claim on #24 is why this isn't obvious.,Season 1 · Q1 2026,active
debate-007,24,global,Basketball,#24 · Basketball,Who do you see first?,Kobe Bryant,Los Angeles Lakers,Maya Moore,Minnesota Lynx,920,580,A,The wall sees Kobe. Maya Moore is the most dominant player in WNBA history — #24 belongs to both.,Season 1 · Q1 2026,active
debate-008,24,global,Baseball,#24 · Baseball,Who do you see first?,Ken Griffey Jr.,Seattle Mariners,Rickey Henderson,Oakland Athletics,780,660,A,The wall sees Griffey. Rickey is the greatest leadoff hitter who ever lived — #24 is just one chapter.,Season 1 · Q1 2026,active
debate-009,7,global,,#7 · Two Sports,Who do you see first?,Mickey Mantle,New York Yankees,John Elway,Denver Broncos,847,531,A,The wall sees Mantle. But Elway is why football fans have always pushed back.,Season 1 · Q1 2026,active
debate-010,7,global,Soccer,#7 · Soccer,Who do you see first?,Cristiano Ronaldo,Portugal,David Beckham,England,1180,580,A,The wall sees Ronaldo. Beckham made #7 a global brand. Ronaldo made it a body of work.,Season 1 · Q1 2026,active
debate-011,0,global,Basketball,#0 · Basketball,Who do you see first?,Damian Lillard,Portland Trail Blazers,Russell Westbrook,Oklahoma City Thunder,612,589,A,The wall sees Lillard. Dame Time gave #0 its first real legend.,Season 1 · Q1 2026,active
debate-012,34,boston,,Boston · #34,Who do you see first?,David Ortiz,Boston Red Sox,Paul Pierce,Boston Celtics,1421,388,A,The wall sees Ortiz. Pierce makes this the most contested retired number in Boston sports.,Season 1 · Q1 2026,active
debate-013,5,boston,,Boston · #5,Who do you see first?,Kevin Garnett,Boston Celtics,Nomar Garciaparra,Boston Red Sox,680,590,A,The wall sees Garnett. But Nomar was Boston before Boston knew it needed saving.,Season 1 · Q1 2026,active
debate-014,33,boston,,Boston · #33,Who do you see first?,Larry Bird,Boston Celtics,Zdeno Chara,Boston Bruins,1420,480,A,The wall sees Bird. But no one in Boston has worn a number with more physical authority than Chara.,Season 1 · Q1 2026,active
